2025-07-06 16:24:46 | INFO     | Murray.main:BetterGroups:509 | Best result for size 120: MAPE=1874994403191.6665, SMAPE=193.1184, Holdout=71.16%
2025-07-06 16:24:46 | INFO     | Murray.main:BetterGroups:509 | Best result for size 121: MAPE=2708172201466.6411, SMAPE=193.4894, Holdout=70.38%
2025-07-06 16:24:46 | INFO     | Murray.main:BetterGroups:509 | Best result for size 123: MAPE=3986734527250.8760, SMAPE=193.4196, Holdout=70.38%
2025-07-06 16:24:46 | INFO     | Murray.main:BetterGroups:509 | Best result for size 124: MAPE=2590282957138.0029, SMAPE=193.2488, Holdout=70.15%
2025-07-06 16:24:46 | INFO     | Murray.main:run_geo_analysis_streamlit_app:821 | BetterGroups completed successfully. Results for 9 sizes
2025-07-06 16:24:46 | INFO     | Murray.main:run_geo_analysis_streamlit_app:824 | Step 3: Evaluating sensitivity for different deltas and periods.....
2025-07-06 16:24:50 | INFO     | Murray.main:evaluate_sensitivity:731 | Period 30 completed for size 115. MDE found: 0.08 with p-value: 0.097
2025-07-06 16:24:54 | INFO     | Murray.main:evaluate_sensitivity:731 | Period 40 completed for size 115. MDE found: 0.01 with p-value: 0.0743
2025-07-06 16:24:58 | INFO     | Murray.main:evaluate_sensitivity:731 | Period 50 completed for size 115. MDE found: 0.02 with p-value: 0.0884
2025-07-06 16:25:02 | INFO     | Murray.main:evaluate_sensitivity:731 | Period 60 completed for size 115. MDE found: 0.04 with p-value: 0.0993
2025-07-06 16:25:06 | INFO     | Murray.main:evaluate_sensitivity:731 | Period 30 completed for size 116. MDE found: 0.04 with p-value: 0.0906
2025-07-06 16:25:10 | INFO     | Murray.main:evaluate_sensitivity:731 | Period 40 completed for size 116. MDE found: 0.01 with p-value: 0.0417
2025-07-06 16:25:13 | INFO     | Murray.main:evaluate_sensitivity:731 | Period 50 completed for size 116. MDE found: 0.01 with p-value: 0.0666
2025-07-06 16:25:17 | INFO     | Murray.main:evaluate_sensitivity:731 | Period 60 completed for size 116. MDE found: 0.02 with p-value: 0.0947
2025-07-06 16:25:21 | INFO     | Murray.main:evaluate_sensitivity:731 | Period 30 completed for size 117. MDE found: 0.06999999999999999 with p-value: 0.0906
2025-07-06 16:25:25 | INFO     | Murray.main:evaluate_sensitivity:731 | Period 40 completed for size 117. MDE found: 0.01 with p-value: 0.0509
2025-07-06 16:25:29 | INFO     | Murray.main:evaluate_sensitivity:731 | Period 50 completed for size 117. MDE found: 0.01 with p-value: 0.0841
2025-07-06 16:25:33 | INFO     | Murray.main:evaluate_sensitivity:731 | Period 60 completed for size 117. MDE found: 0.03 with p-value: 0.0925
2025-07-06 16:25:36 | INFO     | Murray.main:evaluate_sensitivity:731 | Period 30 completed for size 118. MDE found: 0.12 with p-value: 0.091
2025-07-06 16:25:40 | INFO     | Murray.main:evaluate_sensitivity:731 | Period 40 completed for size 118. MDE found: 0.01 with p-value: 0.0539
2025-07-06 16:25:44 | INFO     | Murray.main:evaluate_sensitivity:731 | Period 50 completed for size 118. MDE found: 0.01 with p-value: 0.0968
2025-07-06 16:25:48 | INFO     | Murray.main:evaluate_sensitivity:731 | Period 60 completed for size 118. MDE found: 0.05 with p-value: 0.0907
2025-07-06 16:25:52 | INFO     | Murray.main:evaluate_sensitivity:731 | Period 30 completed for size 119. MDE found: 0.12 with p-value: 0.0982
2025-07-06 16:25:56 | INFO     | Murray.main:evaluate_sensitivity:731 | Period 40 completed for size 119. MDE found: 0.01 with p-value: 0.0684
2025-07-06 16:26:00 | INFO     | Murray.main:evaluate_sensitivity:731 | Period 50 completed for size 119. MDE found: 0.02 with p-value: 0.0921
2025-07-06 16:26:04 | INFO     | Murray.main:evaluate_sensitivity:731 | Period 60 completed for size 119. MDE found: 0.05 with p-value: 0.0923
